feature,gain,weight,cover,shap
remainder__red_zone_touch_share_ewma_position_normalized,9.70824909210205,192.0,1074.2391357421875,0.3513375222682953
remainder__spread_line,14.40600299835205,553.0,1210.51904296875,0.34703242778778076
remainder__touches_ewma_position_normalized,36.47188949584961,138.0,980.829345703125,0.31590205430984497
remainder__total_touchdowns_ewma_position_normalized,18.887317657470703,182.0,1078.0438232421875,0.2821522355079651
remainder__red_zone_touches_ewma_position_normalized,15.020650863647461,190.0,1095.0419921875,0.2562768757343292
remainder__total_yards_ewma_position_normalized,21.96391487121582,148.0,850.8125610351562,0.2504006326198578
remainder__opponent_red_zone_def_rank,10.917336463928223,510.0,1136.716064453125,0.22680257260799408
remainder__team_win_probability,7.604140281677246,177.0,810.390869140625,0.1830008327960968
remainder__qb_passing_yards_ewma,11.1065673828125,155.0,1064.349853515625,0.1667383760213852
remainder__targets_ewma_position_normalized,7.770145893096924,137.0,1165.6529541015625,0.14673872292041779
remainder__qb_rushing_yards_ewma,7.867981910705566,159.0,900.22119140625,0.11776719242334366
remainder__reception_rate_ewma_position_normalized,5.918733596801758,141.0,1003.2808227539062,0.10887507349252701
remainder__team_total_red_zone_touches_ewma,5.44187068939209,164.0,718.1099243164062,0.09986305981874466
remainder__def_ewma_interceptions_per_game,4.654738903045654,163.0,831.560302734375,0.08210679888725281
remainder__def_ewma_TDs_allowed_per_game,3.937948703765869,143.0,853.165283203125,0.07542704045772552
remainder__team_play_volume_ewma,5.06401252746582,138.0,585.571533203125,0.0561758428812027
remainder__recent_total_breakout_tds_position_normalized,4.232415199279785,5.0,357.90155029296875,0.003595077432692051
remainder__recent_breakout_game,7.135637283325195,3.0,865.07177734375,0.0031521206256002188
remainder__recent_total_breakout_yards_position_normalized,0.0,0.0,0.0,0.0
