feature,gain,weight,cover,shap
remainder__total_touchdowns_ewma_position_normalized,10.71236801147461,1356.0,347.9094543457031,0.3452956974506378
remainder__touches_ewma_position_normalized,18.10387420654297,866.0,343.9784240722656,0.3446912169456482
remainder__red_zone_touch_share_ewma_position_normalized,6.786245346069336,959.0,313.41552734375,0.3422234058380127
remainder__red_zone_touches_ewma_position_normalized,10.225878715515137,994.0,397.77947998046875,0.2958768904209137
remainder__spread_line,9.654629707336426,1598.0,535.5895385742188,0.2507641613483429
remainder__total_yards_ewma_position_normalized,9.721229553222656,814.0,271.30352783203125,0.2144889533519745
remainder__team_win_probability,4.516152858734131,890.0,241.90667724609375,0.14212825894355774
remainder__qb_rushing_yards_ewma,4.902767181396484,932.0,255.83233642578125,0.13730299472808838
remainder__qb_passing_yards_ewma,4.766214370727539,1035.0,276.3173828125,0.13524797558784485
remainder__targets_ewma_position_normalized,6.062506675720215,778.0,340.82574462890625,0.13035306334495544
remainder__reception_rate_ewma_position_normalized,4.7103424072265625,924.0,276.5195617675781,0.12926898896694183
remainder__opponent_red_zone_def_rank,5.759768962860107,1466.0,453.6607666015625,0.12447138875722885
remainder__def_ewma_TDs_allowed_per_game,3.725752592086792,1072.0,248.0994415283203,0.1093054786324501
remainder__team_total_red_zone_touches_ewma,3.2381784915924072,951.0,199.45391845703125,0.08354811370372772
remainder__def_ewma_interceptions_per_game,3.4933042526245117,1001.0,265.658447265625,0.07712879031896591
remainder__team_play_volume_ewma,3.356463670730591,988.0,180.78355407714844,0.07036983221769333
remainder__recent_breakout_game,7.539797782897949,15.0,148.967041015625,0.0021774345077574253
remainder__recent_total_breakout_tds_position_normalized,2.538325071334839,7.0,427.285400390625,0.0010062403744086623
remainder__recent_total_breakout_yards_position_normalized,0.0,0.0,0.0,0.0
