player_id,position,player_name,team,season,week,rookie,home,qb_id,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,player_id_drop,passing_tds,passing_yards,qb_rolling_passing_tds,qb_rolling_passing_yards,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0024243,TE,Marcedes Lewis,CHI,2024,12,0,1,00-0039918,0,MIN,0.40816326530612246,Healthy,,294.0,,,,,,,,0.0,231.0,0.0,2.0,0.0,0.0,0.54,0.5,
00-0026158,QB,Joe Flacco,IND,2024,12,0,1,00-0026158,0,DET,0.23255813953488372,Healthy,,170.0,-0.5,0.0,0.0,0.0,,,,0.0,0.0,25.0,0.0,0.0,0.0,0.6563,0.3333,
00-0026300,QB,Josh Johnson,BAL,2024,12,0,0,00-0034796,0,LAC,0.5535714285714286,Healthy,,452.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.5294,0.4,
00-0026498,QB,Matthew Stafford,LA,2024,12,0,1,00-0026498,0,PHI,0.43478260869565216,Healthy,,266.0,-1.0,0.0,0.0,0.0,,,,0.0,0.0,-7.0,0.0,0.0,0.0,0.65,0.5714,
00-0027973,QB,Andy Dalton,CAR,2024,12,0,1,00-0027973,0,KC,0.17543859649122806,Healthy,,366.0,3.0,0.0,0.0,0.0,,,,0.0,0.0,34.0,0.0,0.0,0.0,0.5088,0.7778,
00-0029263,QB,Russell Wilson,PIT,2024,12,0,0,00-0029263,0,CLE,0.6062992125984252,Healthy,,473.0,3.5,0.0,0.25,0.0,,,,0.0,0.0,14.0,0.0,1.0,0.0,0.7111,0.8,
00-0029892,RB,Kyle Juszczyk,SF,2024,12,0,0,00-0037834,0,GB,0.4132231404958677,Healthy,,391.0,5.0,6.0,0.0,0.0,,,,1.0,159.0,21.0,105.0,1.0,0.0,0.5397,0.6667000000000001,
00-0030061,TE,Zach Ertz,WAS,2024,12,0,1,00-0032268,0,DAL,0.8518518518518519,Healthy,,391.0,0.0,40.0,0.0,0.25,,,,,,0.0,428.0,0.0,2.0,0.5962,0.75,
00-0030279,WR,Keenan Allen,CHI,2024,12,0,1,00-0039918,0,MIN,0.40816326530612246,Healthy,,294.0,0.0,40.0,0.0,0.0,,,,0.0,231.0,0.0,282.0,0.0,2.0,0.54,0.5,
00-0030431,WR,Robert Woods,HOU,2024,12,0,1,00-0039163,0,TEN,0.8148148148148148,Healthy,,318.0,0.0,19.0,0.0,0.0,,,,0.0,257.0,0.0,104.0,0.0,0.0,0.377,0.7778,
00-0030506,TE,Travis Kelce,KC,2024,12,0,0,00-0033873,0,CAR,0.8245614035087719,Healthy,,342.0,0.0,65.5,0.0,0.5,,,,3.0,196.0,1.0,507.0,0.0,2.0,0.6315999999999999,0.5832999999999999,
00-0030564,WR,DeAndre Hopkins,KC,2024,12,0,0,00-0033873,0,CAR,0.8245614035087719,Healthy,,342.0,0.0,50.0,0.0,0.5,,,,3.0,196.0,0.0,373.0,0.0,3.0,0.6315999999999999,0.5832999999999999,
00-0030565,QB,Geno Smith,SEA,2024,12,0,1,00-0030565,0,ARI,0.5283018867924528,Healthy,,207.0,19.0,0.0,0.25,0.0,,,,0.0,0.0,222.0,0.0,2.0,0.0,0.6056,0.375,
00-0030578,RB,Cordarrelle Patterson,PIT,2024,12,0,0,00-0029263,0,CLE,0.6062992125984252,Healthy,,473.0,7.0,0.0,0.0,0.0,,,,0.0,205.0,106.0,34.0,0.0,0.0,0.7111,0.8,
00-0031235,WR,Odell Beckham Jr.,MIA,2024,12,0,1,00-0036212,0,NE,0.782608695652174,Healthy,,402.0,0.0,15.0,0.0,0.0,,,,3.0,288.0,0.0,45.0,0.0,0.0,0.46149999999999997,0.5,
00-0031299,TE,Jordan Matthews,CAR,2024,12,0,1,00-0027973,0,KC,0.17543859649122806,Healthy,,366.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.5088,0.7778,
00-0031345,QB,Jimmy Garoppolo,LA,2024,12,0,1,00-0026498,0,PHI,0.43478260869565216,Healthy,,266.0,,,,,,,,0.0,0.0,,,,,0.65,0.5714,
00-0031428,WR,Allen Robinson,DET,2024,12,0,0,00-0033106,0,IND,0.7674418604651163,Healthy,,253.0,0.0,3.0,0.0,0.0,,,,4.0,412.0,0.0,9.0,0.0,0.0,0.5577000000000001,0.5832999999999999,
00-0031484,TE,Chris Manhertz,NYG,2024,12,0,1,00-0038476,0,TB,0.31746031746031744,Healthy,,413.0,0.0,1.0,0.0,0.5,,,,0.0,55.0,0.0,2.0,0.0,1.0,0.45,0.75,
00-0031503,QB,Jameis Winston,CLE,2024,12,0,1,00-0031503,0,PIT,0.3937007874015748,Healthy,,329.0,9.25,0.0,0.0,0.0,,,,0.0,0.0,39.0,0.0,0.0,0.0,0.4717,0.625,
00-0031549,WR,Nelson Agholor,BAL,2024,12,0,0,00-0034796,0,LAC,0.5535714285714286,Healthy,,452.0,0.0,17.75,0.0,0.5,,,,1.0,207.0,0.0,205.0,0.0,2.0,0.5294,0.4,
00-0031595,RB,Michael Burton,DEN,2024,12,0,0,00-0039732,0,LV,0.6610169491525424,Healthy,,353.0,0.3333333333333333,8.666666666666666,0.0,0.0,,,,4.0,307.0,1.0,38.0,0.0,0.0,0.625,0.7692,
00-0031687,RB,Raheem Mostert,MIA,2024,12,0,1,00-0036212,0,NE,0.782608695652174,Healthy,,402.0,18.25,19.25,0.5,0.0,,,,3.0,288.0,212.0,105.0,2.0,0.0,0.46149999999999997,0.5,
00-0031763,WR,DeAndre Carter,CHI,2024,12,0,1,00-0039918,0,MIN,0.40816326530612246,Healthy,,294.0,0.0,6.0,0.0,0.0,,,,0.0,231.0,0.0,72.0,0.0,0.0,0.54,0.5,
00-0031800,QB,Taylor Heinicke,LAC,2024,12,0,1,00-0036355,0,BAL,0.44642857142857145,Healthy,,303.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.42310000000000003,0.3636,
00-0032104,RB,Ameer Abdullah,LV,2024,12,0,1,00-0035289,0,DEN,0.3389830508474576,Healthy,,226.0,5.0,13.0,0.0,0.3333333333333333,,,,2.0,282.0,82.0,76.0,1.0,1.0,0.5763,0.4545,
00-0032128,WR,Chris Conley,SF,2024,12,0,0,00-0037834,0,GB,0.4132231404958677,Healthy,,391.0,0.0,0.0,0.0,0.0,,,,1.0,159.0,0.0,4.0,0.0,0.0,0.5397,0.6667000000000001,
00-0032134,TE,C.J. Uzomah,PHI,2024,12,0,0,00-0036389,0,LA,0.5652173913043479,Healthy,,382.0,,,,,,,,0.0,221.0,,,,,0.5686,0.4167,
00-0032141,TE,Geoff Swaim,CLE,2024,12,0,1,00-0031503,0,PIT,0.3937007874015748,Healthy,,329.0,0.0,7.0,0.0,0.0,,,,2.0,395.0,0.0,7.0,0.0,0.0,0.4717,0.625,
00-0032211,WR,Tyler Lockett,SEA,2024,12,0,1,00-0030565,0,ARI,0.5283018867924528,Healthy,,207.0,0.0,34.0,0.0,0.25,,,,0.0,221.0,0.0,475.0,0.0,2.0,0.6056,0.375,
00-0032268,QB,Marcus Mariota,WAS,2024,12,0,1,00-0032268,0,DAL,0.8518518518518519,Healthy,,391.0,,,,,,,,0.0,0.0,36.0,0.0,0.0,0.0,0.5962,0.75,
00-0032385,WR,Sterling Shepard,TB,2024,12,0,0,00-0034855,0,NYG,0.6825396825396826,Healthy,,306.0,6.0,22.0,0.0,0.0,,,,1.0,116.0,55.0,166.0,0.0,1.0,0.6102000000000001,0.3846,
00-0032392,TE,Austin Hooper,NE,2024,12,0,0,00-0039851,0,MIA,0.21739130434782605,Healthy,,328.0,0.0,30.5,0.0,0.0,,,,2.0,282.0,0.0,236.0,0.0,1.0,0.6167,0.2727,
00-0032394,TE,Nick Vannett,TEN,2024,12,0,0,00-0034771,0,HOU,0.18518518518518523,Healthy,,388.0,0.0,13.0,0.0,0.3333333333333333,,,,,,0.0,84.0,0.0,2.0,0.5574,0.5714,
00-0032434,QB,Brandon Allen,SF,2024,12,0,0,00-0037834,0,GB,0.4132231404958677,Healthy,,391.0,,,,,,,,0.0,0.0,-1.0,0.0,0.0,0.0,0.5397,0.6667000000000001,
00-0032464,WR,Kalif Raymond,DET,2024,12,0,0,00-0033106,0,IND,0.7674418604651163,Healthy,,253.0,-4.0,18.666666666666668,0.0,0.3333333333333333,,,,4.0,412.0,0.0,204.0,0.0,2.0,0.5577000000000001,0.5832999999999999,
00-0032764,RB,Derrick Henry,BAL,2024,12,0,0,00-0034796,0,LAC,0.5535714285714286,Healthy,,452.0,78.0,8.5,1.25,0.0,,,,1.0,207.0,1185.0,96.0,13.0,2.0,0.5294,0.4,
00-0032775,WR,Demarcus Robinson,LA,2024,12,0,1,00-0026498,0,PHI,0.43478260869565216,Healthy,,266.0,0.0,42.75,0.0,1.0,,,,4.0,295.0,0.0,369.0,0.0,5.0,0.65,0.5714,
00-0032918,RB,C.J. Ham,MIN,2024,12,0,0,00-0034869,0,CHI,0.5918367346938775,Healthy,,366.0,,,,,,,,2.0,246.0,10.0,11.0,1.0,0.0,0.6889,0.46149999999999997,
00-0032950,QB,Carson Wentz,KC,2024,12,0,0,00-0033873,0,CAR,0.8245614035087719,Healthy,,342.0,,,,,,,,0.0,0.0,,,,,0.6315999999999999,0.5832999999999999,
00-0033009,WR,Tyler Boyd,TEN,2024,12,0,0,00-0034771,0,HOU,0.18518518518518523,Healthy,,388.0,1.0,16.0,0.0,0.0,,,,,,3.0,218.0,0.0,0.0,0.5574,0.5714,
00-0033040,WR,Tyreek Hill,MIA,2024,12,0,1,00-0036212,0,NE,0.782608695652174,Healthy,,402.0,2.75,57.25,0.0,0.5,,,,3.0,288.0,47.0,523.0,0.0,3.0,0.46149999999999997,0.5,
00-0033045,RB,Ezekiel Elliott,DAL,2024,12,0,0,00-0033662,0,WAS,0.14814814814814814,Healthy,,434.0,21.333333333333332,6.666666666666667,0.3333333333333333,0.0,,,,1.0,354.0,179.0,56.0,2.0,0.0,0.5667,0.6,
00-0033090,TE,Hunter Henry,NE,2024,12,0,0,00-0039851,0,MIA,0.21739130434782605,Healthy,,328.0,0.0,44.5,0.0,0.0,,,,2.0,282.0,0.0,491.0,0.0,1.0,0.6167,0.2727,
