player_id,position,player_name,team,season,week,rookie,home,qb_id,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,player_id_drop,passing_tds,passing_yards,qb_rolling_passing_tds,qb_rolling_passing_yards,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0023459,QB,Aaron Rodgers,NYJ,2024,14,0,0,00-0023459,0,MIA,0.2857142857142857,Healthy,,388.0,3.0,0.0,0.0,0.0,,,,0.0,0.0,56.0,0.0,0.0,0.0,0.6167,0.5,
00-0024243,TE,Marcedes Lewis,CHI,2024,14,0,0,00-0039918,0,SF,0.34246575342465757,Healthy,,372.0,,,,,,,,3.0,256.0,0.0,2.0,0.0,0.0,0.5254,1.0,
00-0026498,QB,Matthew Stafford,LA,2024,14,0,1,00-0026498,0,BUF,0.4,Minor,,239.0,4.5,0.0,0.0,0.0,,,,0.0,0.0,11.0,0.0,0.0,0.0,0.5536,0.6,
00-0027973,QB,Andy Dalton,CAR,2024,14,0,0,00-0027973,0,PHI,0.1333333333333333,Healthy,,372.0,,,,,,,,0.0,0.0,34.0,0.0,0.0,0.0,0.65,0.5455,
00-0028118,QB,Tyrod Taylor,NYJ,2024,14,0,0,00-0023459,0,MIA,0.2857142857142857,Healthy,,388.0,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,0.6167,0.5,
00-0029263,QB,Russell Wilson,PIT,2024,14,0,1,00-0029263,0,CLE,0.7297297297297297,Healthy,,400.0,4.25,0.0,0.0,0.0,,,,0.0,0.0,27.0,0.0,1.0,0.0,0.7111,0.5556,
00-0029604,QB,Kirk Cousins,ATL,2024,14,0,0,00-0029604,0,MIN,0.28985507246376807,Healthy,,406.0,-2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.4,
00-0029892,RB,Kyle Juszczyk,SF,2024,14,0,1,00-0037834,0,CHI,0.6575342465753424,Healthy,,405.0,-0.3333333333333333,8.666666666666666,0.0,0.0,,,,0.0,94.0,20.0,119.0,1.0,0.0,0.6889,0.4706,
00-0030035,WR,Adam Thielen,CAR,2024,14,0,0,00-0027973,0,PHI,0.1333333333333333,Healthy,,372.0,0.0,78.0,0.0,0.5,,,,,,0.0,265.0,0.0,2.0,0.65,0.5455,
00-0030279,WR,Keenan Allen,CHI,2024,14,0,0,00-0039918,0,SF,0.34246575342465757,Minor,,372.0,0.0,61.0,0.0,0.75,,,,3.0,256.0,0.0,441.0,0.0,5.0,0.5254,1.0,
00-0030506,TE,Travis Kelce,KC,2024,14,0,1,00-0033873,0,LAC,0.6855345911949685,Healthy,,350.0,0.0,50.5,0.0,0.25,,,,1.0,306.0,1.0,637.0,0.0,2.0,0.5294,0.5,
00-0030564,WR,DeAndre Hopkins,KC,2024,14,0,1,00-0033873,0,LAC,0.6855345911949685,Healthy,,350.0,0.0,52.5,0.0,0.25,,,,1.0,306.0,0.0,498.0,0.0,4.0,0.5294,0.5,
00-0030565,QB,Geno Smith,SEA,2024,14,0,0,00-0030565,0,ARI,0.4132231404958677,Healthy,,273.0,12.25,0.0,0.25,0.0,,,,0.0,0.0,226.0,0.0,2.0,0.0,0.6056,0.3333,
00-0030578,RB,Cordarrelle Patterson,PIT,2024,14,0,1,00-0029263,0,CLE,0.7297297297297297,Healthy,,400.0,7.0,9.25,0.0,0.0,,,,3.0,414.0,120.0,71.0,0.0,0.0,0.7111,0.5556,
00-0031235,WR,Odell Beckham Jr.,MIA,2024,14,0,1,00-0036212,0,NYJ,0.7142857142857143,Healthy,,259.0,0.0,9.75,0.0,0.0,,,,2.0,365.0,0.0,54.0,0.0,0.0,0.48979999999999996,0.75,
00-0031236,WR,Brandin Cooks,DAL,2024,14,0,1,00-0033662,0,CIN,0.3448275862068966,Healthy,,520.0,0.0,16.0,0.0,1.0,,,,1.0,195.0,2.0,107.0,0.0,2.0,0.5167,0.7,
00-0031280,QB,Derek Carr,NO,2024,14,0,0,00-0031280,0,NYG,0.6666666666666667,Healthy,,317.0,9.25,0.0,0.0,0.0,,,,0.0,0.0,59.0,0.0,1.0,0.0,0.6102000000000001,0.6667000000000001,
00-0031345,QB,Jimmy Garoppolo,LA,2024,14,0,1,00-0026498,0,BUF,0.4,Healthy,,239.0,,,,,,,,0.0,0.0,,,,,0.5536,0.6,
00-0031381,WR,Davante Adams,NYJ,2024,14,0,0,00-0023459,0,MIA,0.2857142857142857,Healthy,,388.0,0.0,65.0,0.0,0.5,,,,2.0,185.0,0.0,553.0,0.0,3.0,0.6167,0.5,
00-0031408,WR,Mike Evans,TB,2024,14,0,1,00-0034855,0,LV,0.7297297297297297,Minor,,329.0,0.0,93.0,0.0,0.5,,,,1.0,235.0,0.0,521.0,0.0,7.0,0.625,0.46149999999999997,
00-0031428,WR,Allen Robinson,DET,2024,14,0,1,00-0033106,0,GB,0.6363636363636364,Healthy,,377.0,0.0,7.0,0.0,0.0,,,,2.0,221.0,0.0,9.0,0.0,0.0,0.5397,0.5714,
00-0031484,TE,Chris Manhertz,NYG,2024,14,0,1,00-0038476,0,NO,0.3333333333333333,Healthy,,322.0,0.0,2.0,0.0,1.0,,,,0.0,189.0,0.0,2.0,0.0,1.0,0.5106,0.5714,
00-0031503,QB,Jameis Winston,CLE,2024,14,0,0,00-0031503,0,PIT,0.2702702702702703,Healthy,,375.0,13.25,0.0,0.25,0.0,,,,0.0,0.0,57.0,0.0,1.0,0.0,0.4717,0.8181999999999999,
00-0031544,WR,Amari Cooper,BUF,2024,14,0,0,00-0034857,0,LA,0.6,Minor,,329.0,0.0,33.5,0.0,0.0,,,,2.0,148.0,0.0,386.0,0.0,3.0,0.5686,0.3333,
00-0031585,TE,MyCole Pruitt,PIT,2024,14,0,1,00-0029263,0,CLE,0.7297297297297297,Minor,,400.0,0.0,10.5,0.0,0.0,,,,3.0,414.0,0.0,40.0,0.0,0.0,0.7111,0.5556,
00-0031687,RB,Raheem Mostert,MIA,2024,14,0,1,00-0036212,0,NYJ,0.7142857142857143,Minor,,259.0,5.5,11.5,0.0,0.0,,,,2.0,365.0,236.0,117.0,2.0,0.0,0.48979999999999996,0.75,
00-0031763,WR,DeAndre Carter,CHI,2024,14,0,0,00-0039918,0,SF,0.34246575342465757,Healthy,,372.0,0.0,5.0,0.0,0.0,,,,3.0,256.0,0.0,72.0,0.0,0.0,0.5254,1.0,
00-0031800,QB,Taylor Heinicke,LAC,2024,14,0,0,00-0036355,0,KC,0.3144654088050315,Healthy,,434.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5088,0.4545,
00-0032104,RB,Ameer Abdullah,LV,2024,14,0,0,00-0035289,0,TB,0.2702702702702703,Healthy,,367.0,20.0,20.25,0.0,0.5,,,,,,149.0,127.0,1.0,2.0,0.45,0.3,
00-0032128,WR,Chris Conley,SF,2024,14,0,1,00-0037834,0,CHI,0.6575342465753424,Healthy,,405.0,0.0,0.0,0.0,0.0,,,,0.0,94.0,0.0,4.0,0.0,0.0,0.6889,0.4706,
00-0032134,TE,C.J. Uzomah,PHI,2024,14,0,1,00-0036389,0,CAR,0.8666666666666667,Healthy,,445.0,,,,,,,,1.0,118.0,,,,,0.6315999999999999,0.3846,
00-0032211,WR,Tyler Lockett,SEA,2024,14,0,0,00-0030565,0,ARI,0.4132231404958677,Minor,,273.0,0.0,29.5,0.0,0.25,,,,1.0,206.0,0.0,511.0,0.0,2.0,0.6056,0.3333,
00-0032385,WR,Sterling Shepard,TB,2024,14,0,1,00-0034855,0,LV,0.7297297297297297,Healthy,,329.0,6.0,28.25,0.0,0.0,,,,1.0,235.0,55.0,224.0,0.0,1.0,0.625,0.46149999999999997,
00-0032394,TE,Nick Vannett,TEN,2024,14,0,1,00-0034771,0,JAX,0.6296296296296297,Healthy,,326.0,0.0,4.0,0.0,0.0,,,,,,0.0,90.0,0.0,2.0,0.5577000000000001,0.46149999999999997,
00-0032434,QB,Brandon Allen,SF,2024,14,0,1,00-0037834,0,CHI,0.6575342465753424,Healthy,,405.0,5.0,0.0,0.0,0.0,,,,0.0,0.0,4.0,0.0,0.0,0.0,0.6889,0.4706,
00-0032775,WR,Demarcus Robinson,LA,2024,14,0,1,00-0026498,0,BUF,0.4,Minor,,239.0,0.0,26.5,0.0,0.5,,,,2.0,183.0,0.0,433.0,0.0,7.0,0.5536,0.6,
00-0032918,RB,C.J. Ham,MIN,2024,14,0,1,00-0034869,0,ATL,0.7101449275362319,Healthy,,189.0,0.0,0.0,0.0,0.0,,,,2.0,235.0,10.0,11.0,1.0,0.0,0.45280000000000004,0.5556,
00-0032950,QB,Carson Wentz,KC,2024,14,0,1,00-0033873,0,LAC,0.6855345911949685,Healthy,,350.0,,,,,,,,0.0,0.0,,,,,0.5294,0.5,
00-0033009,WR,Tyler Boyd,TEN,2024,14,0,1,00-0034771,0,JAX,0.6296296296296297,Minor,,326.0,0.0,42.0,0.0,0.0,,,,,,3.0,310.0,0.0,0.0,0.5577000000000001,0.46149999999999997,
00-0033040,WR,Tyreek Hill,MIA,2024,14,0,1,00-0036212,0,NYJ,0.7142857142857143,Minor,,259.0,2.75,52.0,0.0,0.75,,,,2.0,365.0,47.0,654.0,0.0,4.0,0.48979999999999996,0.75,
00-0033045,RB,Ezekiel Elliott,DAL,2024,14,0,1,00-0033662,0,CIN,0.3448275862068966,Healthy,,520.0,10.0,4.0,0.0,0.0,,,,1.0,195.0,189.0,56.0,2.0,0.0,0.5167,0.7,
00-0033106,QB,Jared Goff,DET,2024,14,0,1,00-0033106,0,GB,0.6363636363636364,Healthy,,377.0,6.0,0.0,0.0,0.0,,,,0.0,0.0,40.0,7.0,0.0,1.0,0.5397,0.5714,
00-0033246,TE,Johnny Mundt,MIN,2024,14,0,1,00-0034869,0,ATL,0.7101449275362319,Healthy,,189.0,0.0,14.0,0.0,0.3333333333333333,,,,2.0,235.0,0.0,135.0,0.0,2.0,0.45280000000000004,0.5556,
00-0033251,WR,Zach Pascal,ARI,2024,14,0,1,00-0035228,0,SEA,0.5867768595041323,Healthy,,260.0,,,,,,,,1.0,260.0,,,,,0.6071,0.5,
00-0033282,WR,Curtis Samuel,BUF,2024,14,0,0,00-0034857,0,LA,0.6,Minor,,329.0,1.75,23.25,0.0,0.25,,,,2.0,148.0,13.0,185.0,0.0,1.0,0.5686,0.3333,
