player_id,position,player_name,team,season,week,rookie,home,qb_id,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,player_id_drop,passing_tds,passing_yards,qb_rolling_passing_tds,qb_rolling_passing_yards,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0023459,QB,Aaron Rodgers,NYJ,2024,10,0,0,00-0023459,0,ARI,0.5,Minor,,241.0,-0.25,0.0,0.0,0.0,,,,0.0,0.0,43.0,0.0,0.0,0.0,0.6056,0.5,
00-0024243,TE,Marcedes Lewis,CHI,2024,10,0,1,00-0039918,0,NE,0.7435897435897436,Healthy,,400.0,0.0,2.0,0.0,0.0,,,,0.0,217.0,0.0,2.0,0.0,0.0,0.46149999999999997,0.5333,
00-0026158,QB,Joe Flacco,IND,2024,10,0,1,00-0026158,0,BUF,0.3787878787878788,Healthy,,373.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,25.0,0.0,0.0,0.0,0.5536,0.5,
00-0026300,QB,Josh Johnson,BAL,2024,10,0,1,00-0034796,0,CIN,0.7297297297297297,Healthy,,217.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.5167,0.75,
00-0026498,QB,Matthew Stafford,LA,2024,10,0,1,00-0026498,0,MIA,0.5412844036697247,Healthy,,327.0,-1.5,0.0,0.0,0.0,,,,0.0,0.0,-7.0,0.0,0.0,0.0,0.6167,0.4545,
00-0027973,QB,Andy Dalton,CAR,2024,10,0,1,00-0027973,0,NYG,0.29850746268656714,Healthy,,358.0,12.0,0.0,0.0,0.0,,,,0.0,0.0,34.0,0.0,0.0,0.0,0.6102000000000001,0.46149999999999997,
00-0028118,QB,Tyrod Taylor,NYJ,2024,10,0,0,00-0023459,0,ARI,0.5,Healthy,,241.0,,,,,,,,0.0,0.0,7.0,0.0,0.0,0.0,0.6056,0.5,
00-0029263,QB,Russell Wilson,PIT,2024,10,0,0,00-0029263,0,WAS,0.4032258064516129,Healthy,,326.0,5.0,0.0,0.5,0.0,,,,0.0,0.0,10.0,0.0,1.0,0.0,0.5667,0.6667000000000001,
00-0029604,QB,Kirk Cousins,ATL,2024,10,0,0,00-0029604,0,NO,0.6153846153846154,Healthy,,246.0,-0.25,0.0,0.0,0.0,,,,0.0,0.0,-3.0,0.0,0.0,0.0,0.5106,0.7778,
00-0029892,RB,Kyle Juszczyk,SF,2024,10,0,0,00-0037834,0,TB,0.6875,Healthy,,384.0,7.0,5.333333333333333,0.3333333333333333,0.0,,,,1.0,260.0,21.0,93.0,1.0,0.0,0.45,0.9,
00-0030061,TE,Zach Ertz,WAS,2024,10,0,1,00-0032268,0,PIT,0.5967741935483871,Minor,,394.0,0.0,47.5,0.0,0.25,,,,,,0.0,350.0,0.0,1.0,0.4717,0.44439999999999996,
00-0030279,WR,Keenan Allen,CHI,2024,10,0,1,00-0039918,0,NE,0.7435897435897436,Healthy,,400.0,0.0,37.25,0.0,0.5,,,,0.0,217.0,0.0,197.0,0.0,2.0,0.46149999999999997,0.5333,
00-0030431,WR,Robert Woods,HOU,2024,10,0,1,00-0039163,0,DET,0.3937007874015748,Healthy,,413.0,0.0,31.0,0.0,0.0,,,,0.0,191.0,0.0,90.0,0.0,0.0,0.6563,0.375,
00-0030506,TE,Travis Kelce,KC,2024,10,0,1,00-0033873,0,DEN,0.7802197802197802,Healthy,,396.0,0.0,69.25,0.0,0.25,,,,3.0,291.0,1.0,435.0,0.0,1.0,0.5763,0.6364,
00-0030564,WR,DeAndre Hopkins,KC,2024,10,0,1,00-0033873,0,DEN,0.7802197802197802,Healthy,,396.0,0.0,37.666666666666664,0.0,0.6666666666666666,,,,3.0,291.0,0.0,288.0,0.0,3.0,0.5763,0.6364,
00-0030578,RB,Cordarrelle Patterson,PIT,2024,10,0,0,00-0029263,0,WAS,0.4032258064516129,Minor,,326.0,,,,,,,,1.0,278.0,92.0,34.0,0.0,0.0,0.5667,0.6667000000000001,
00-0031235,WR,Odell Beckham Jr.,MIA,2024,10,0,0,00-0036212,0,LA,0.45871559633027525,Healthy,,424.0,0.0,5.0,0.0,0.0,,,,2.0,231.0,0.0,15.0,0.0,0.0,0.5686,0.3,
00-0031280,QB,Derek Carr,NO,2024,10,0,1,00-0031280,0,ATL,0.38461538461538464,Minor,,380.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,22.0,0.0,1.0,0.0,0.45280000000000004,0.75,
00-0031299,TE,Jordan Matthews,CAR,2024,10,0,1,00-0027973,0,NYG,0.29850746268656714,Healthy,,358.0,,,,,,,,0.0,93.0,0.0,0.0,0.0,0.0,0.6102000000000001,0.46149999999999997,
00-0031345,QB,Jimmy Garoppolo,LA,2024,10,0,1,00-0026498,0,MIA,0.5412844036697247,Healthy,,327.0,,,,,,,,0.0,0.0,,,,,0.6167,0.4545,
00-0031381,WR,Davante Adams,NYJ,2024,10,0,0,00-0023459,0,ARI,0.5,Healthy,,241.0,0.0,58.333333333333336,0.0,0.3333333333333333,,,,3.0,211.0,0.0,384.0,0.0,2.0,0.6056,0.5,
00-0031408,WR,Mike Evans,TB,2024,10,0,1,00-0034855,0,SF,0.3125,Minor,,292.0,0.0,29.5,0.0,0.5,,,,2.0,200.0,0.0,335.0,0.0,6.0,0.5254,0.7273000000000001,
00-0031428,WR,Allen Robinson,DET,2024,10,0,0,00-0033106,0,HOU,0.6062992125984252,Healthy,,293.0,0.0,0.6666666666666666,0.0,0.0,,,,1.0,145.0,0.0,2.0,0.0,0.0,0.5574,0.7143,
00-0031484,TE,Chris Manhertz,NYG,2024,10,0,0,00-0035710,0,CAR,0.7014925373134329,Healthy,,427.0,0.0,1.0,0.0,0.5,,,,2.0,174.0,0.0,2.0,0.0,1.0,0.6315999999999999,0.6,
00-0031544,WR,Amari Cooper,BUF,2024,10,0,0,00-0034857,0,IND,0.6212121212121212,Minor,,415.0,0.0,37.0,0.0,0.3333333333333333,,,,3.0,235.0,0.0,319.0,0.0,3.0,0.5577000000000001,0.4286,
00-0031549,WR,Nelson Agholor,BAL,2024,10,0,1,00-0034796,0,CIN,0.7297297297297297,Healthy,,217.0,0.0,27.5,0.0,0.25,,,,3.0,280.0,0.0,199.0,0.0,1.0,0.5167,0.75,
00-0031585,TE,MyCole Pruitt,PIT,2024,10,0,0,00-0029263,0,WAS,0.4032258064516129,Healthy,,326.0,0.0,10.0,0.0,0.0,,,,1.0,278.0,0.0,19.0,0.0,0.0,0.5667,0.6667000000000001,
00-0031687,RB,Raheem Mostert,MIA,2024,10,0,0,00-0036212,0,LA,0.45871559633027525,Healthy,,424.0,51.25,15.25,0.5,0.0,,,,2.0,231.0,214.0,71.0,2.0,0.0,0.5686,0.3,
00-0031763,WR,DeAndre Carter,CHI,2024,10,0,1,00-0039918,0,NE,0.7435897435897436,Healthy,,400.0,0.0,7.0,0.0,0.0,,,,0.0,217.0,0.0,67.0,0.0,0.0,0.46149999999999997,0.5333,
00-0031800,QB,Taylor Heinicke,LAC,2024,10,0,1,00-0036355,0,TEN,0.782608695652174,Healthy,,295.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.377,0.8462000000000001,
00-0032128,WR,Chris Conley,SF,2024,10,0,0,00-0037834,0,TB,0.6875,Minor,,384.0,0.0,0.0,0.0,0.0,,,,1.0,260.0,0.0,4.0,0.0,0.0,0.45,0.9,
00-0032268,QB,Marcus Mariota,WAS,2024,10,0,1,00-0032268,0,PIT,0.5967741935483871,Healthy,,394.0,34.0,0.0,0.0,0.0,,,,0.0,0.0,36.0,0.0,0.0,0.0,0.4717,0.44439999999999996,
00-0032385,WR,Sterling Shepard,TB,2024,10,0,1,00-0034855,0,SF,0.3125,Minor,,292.0,13.0,26.0,0.0,0.0,,,,2.0,200.0,52.0,159.0,0.0,1.0,0.5254,0.7273000000000001,
00-0032392,TE,Austin Hooper,NE,2024,10,0,0,00-0039851,0,CHI,0.2564102564102564,Healthy,,350.0,0.0,15.0,0.0,0.0,,,,1.0,206.0,0.0,137.0,0.0,1.0,0.6889,0.44439999999999996,
00-0032394,TE,Nick Vannett,TEN,2024,10,0,0,00-0034771,0,LAC,0.21739130434782605,Healthy,,292.0,0.0,19.333333333333332,0.0,0.3333333333333333,,,,2.0,240.0,0.0,78.0,0.0,2.0,0.5294,0.3333,
00-0032434,QB,Brandon Allen,SF,2024,10,0,0,00-0037834,0,TB,0.6875,Healthy,,384.0,,,,,,,,0.0,0.0,-1.0,0.0,0.0,0.0,0.45,0.9,
00-0032436,QB,Jeff Driskel,WAS,2024,10,0,1,00-0032268,0,PIT,0.5967741935483871,Healthy,,394.0,,,,,,,,0.0,0.0,,,,,0.4717,0.44439999999999996,
00-0032464,WR,Kalif Raymond,DET,2024,10,0,0,00-0033106,0,HOU,0.6062992125984252,Healthy,,293.0,-3.0,34.5,0.0,0.5,,,,1.0,145.0,0.0,174.0,0.0,2.0,0.5574,0.7143,
00-0032764,RB,Derrick Henry,BAL,2024,10,0,1,00-0034796,0,CIN,0.7297297297297297,Healthy,,217.0,120.0,11.0,1.25,0.25,,,,3.0,280.0,1052.0,93.0,11.0,2.0,0.5167,0.75,
00-0032775,WR,Demarcus Robinson,LA,2024,10,0,1,00-0026498,0,MIA,0.5412844036697247,Healthy,,327.0,0.0,41.5,0.0,1.25,,,,2.0,298.0,0.0,327.0,0.0,5.0,0.6167,0.4545,
00-0032918,RB,C.J. Ham,MIN,2024,10,0,0,00-0034869,0,JAX,0.7142857142857143,Healthy,,447.0,10.0,0.0,1.0,0.0,,,,3.0,290.0,10.0,11.0,1.0,0.0,0.5577000000000001,0.5832999999999999,
00-0032950,QB,Carson Wentz,KC,2024,10,0,1,00-0033873,0,DEN,0.7802197802197802,Healthy,,396.0,,,,,,,,0.0,0.0,,,,,0.5763,0.6364,
00-0033009,WR,Tyler Boyd,TEN,2024,10,0,0,00-0034771,0,LAC,0.21739130434782605,Minor,,292.0,0.75,19.0,0.0,0.0,,,,2.0,240.0,3.0,184.0,0.0,0.0,0.5294,0.3333,
00-0033040,WR,Tyreek Hill,MIA,2024,10,0,0,00-0036212,0,LA,0.45871559633027525,Healthy,,424.0,1.25,57.25,0.0,0.0,,,,2.0,231.0,36.0,446.0,0.0,1.0,0.5686,0.3,
00-0033045,RB,Ezekiel Elliott,DAL,2024,10,0,1,00-0033662,0,PHI,0.2597402597402597,Healthy,,219.0,22.666666666666668,1.3333333333333333,0.3333333333333333,0.0,,,,1.0,181.0,149.0,40.0,2.0,0.0,0.65,0.5714,
00-0033077,QB,Dak Prescott,DAL,2024,10,0,1,00-0033662,0,PHI,0.2597402597402597,Minor,,219.0,8.25,0.0,0.0,0.0,,,,0.0,0.0,54.0,0.0,1.0,0.0,0.65,0.5714,
00-0033090,TE,Hunter Henry,NE,2024,10,0,0,00-0039851,0,CHI,0.2564102564102564,Healthy,,350.0,0.0,58.5,0.0,0.25,,,,1.0,206.0,0.0,414.0,0.0,1.0,0.6889,0.44439999999999996,
00-0033106,QB,Jared Goff,DET,2024,10,0,0,00-0033106,0,HOU,0.6062992125984252,Healthy,,293.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,16.0,7.0,0.0,1.0,0.5574,0.7143,
00-0033119,QB,Jacoby Brissett,NE,2024,10,0,0,00-0039851,0,CHI,0.2564102564102564,Healthy,,350.0,11.0,0.0,0.0,0.0,,,,0.0,0.0,62.0,0.0,0.0,0.0,0.6889,0.44439999999999996,
00-0033217,TE,Mo Alie-Cox,IND,2024,10,0,1,00-0026158,0,BUF,0.3787878787878788,Healthy,,373.0,0.0,13.666666666666666,0.0,0.0,,,,0.0,179.0,0.0,100.0,0.0,1.0,0.5536,0.5,
00-0033246,TE,Johnny Mundt,MIN,2024,10,0,0,00-0034869,0,JAX,0.7142857142857143,Healthy,,447.0,0.0,12.25,0.0,0.0,,,,3.0,290.0,0.0,93.0,0.0,1.0,0.5577000000000001,0.5832999999999999,
00-0033251,WR,Zach Pascal,ARI,2024,10,0,1,00-0035228,0,NYJ,0.5,Healthy,,322.0,,,,,,,,0.0,154.0,,,,,0.48979999999999996,0.5714,
00-0033282,WR,Curtis Samuel,BUF,2024,10,0,0,00-0034857,0,IND,0.6212121212121212,Minor,,415.0,0.0,14.666666666666666,0.0,0.0,,,,3.0,235.0,6.0,92.0,0.0,0.0,0.5577000000000001,0.4286,
00-0033288,TE,George Kittle,SF,2024,10,0,0,00-0037834,0,TB,0.6875,Healthy,,384.0,0.0,85.5,0.0,1.0,,,,1.0,260.0,0.0,503.0,0.0,6.0,0.45,0.9,
