player_id,position,player_name,team,season,week,rookie,home,qb_id,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,player_id_drop,passing_tds,passing_yards,qb_rolling_passing_tds,qb_rolling_passing_yards,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0023459,QB,Aaron Rodgers,NYJ,2024,9,0,1,00-0023459,0,HOU,0.5967741935483871,Minor,293.0,303.0,0.0,0.0,0.0,0.0,00-0023459,3.0,211.0,0.0,0.0,43.0,0.0,0.0,0.0,0.5574,0.7143,1.0
00-0024243,TE,Marcedes Lewis,CHI,2024,9,0,0,00-0039918,0,ARI,0.4504504504504504,Minor,,377.0,0.0,2.0,0.0,0.0,,,,0.0,131.0,0.0,2.0,0.0,0.0,0.6056,0.5556,
00-0026158,QB,Joe Flacco,IND,2024,9,0,0,00-0026158,0,MIN,0.3076923076923077,Healthy,,386.0,11.5,0.0,0.0,0.0,,,,0.0,0.0,26.0,0.0,0.0,0.0,0.54,0.8571,
00-0026300,QB,Josh Johnson,BAL,2024,9,0,1,00-0034796,0,DEN,0.8198198198198198,Healthy,,284.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5763,0.5,
00-0026498,QB,Matthew Stafford,LA,2024,9,0,0,00-0026498,0,SEA,0.4807692307692307,Healthy,,445.0,-1.75,0.0,0.0,0.0,,,,0.0,0.0,-7.0,0.0,0.0,0.0,0.6071,0.6923,
00-0027973,QB,Andy Dalton,CAR,2024,9,0,1,00-0027973,0,NO,0.2702702702702703,Minor,,378.0,9.0,0.0,0.0,0.0,,,,0.0,0.0,34.0,0.0,0.0,0.0,0.5106,0.7273000000000001,
00-0028118,QB,Tyrod Taylor,NYJ,2024,9,0,1,00-0023459,0,HOU,0.5967741935483871,Healthy,293.0,300.5,,,,,00-0023459,3.0,211.0,0.0,0.0,7.0,0.0,0.0,0.0,0.5574,0.7143,
00-0029604,QB,Kirk Cousins,ATL,2024,9,0,1,00-0029604,0,DAL,0.6363636363636364,Healthy,,469.0,2.5,0.0,0.0,0.0,,,,0.0,0.0,8.0,0.0,0.0,0.0,0.5962,0.7273000000000001,
00-0030061,TE,Zach Ertz,WAS,2024,9,0,0,00-0032268,0,NYG,0.6296296296296297,Minor,,426.0,0.0,48.75,0.0,0.25,,,,1.0,167.0,,,,,0.6102000000000001,0.375,
00-0030279,WR,Keenan Allen,CHI,2024,9,0,0,00-0039918,0,ARI,0.4504504504504504,Healthy,,377.0,0.0,33.0,0.0,0.5,,,,0.0,131.0,0.0,161.0,0.0,2.0,0.6056,0.5556,
00-0030431,WR,Robert Woods,HOU,2024,9,0,0,00-0039163,0,NYJ,0.4032258064516129,Healthy,322.0,250.0,0.0,18.0,0.0,0.0,00-0039163,0.0,191.0,1.0,285.0,0.0,90.0,0.0,0.0,0.48979999999999996,0.5714,1.0
00-0030506,TE,Travis Kelce,KC,2024,9,0,1,00-0033873,0,TB,0.8290598290598291,Healthy,,394.0,0.0,66.5,0.0,0.25,,,,2.0,262.0,1.0,335.0,0.0,1.0,0.45,0.7,
00-0030564,WR,DeAndre Hopkins,KC,2024,9,0,1,00-0033873,0,TB,0.8290598290598291,Healthy,,394.0,0.0,19.333333333333332,0.0,0.0,,,,2.0,262.0,0.0,202.0,0.0,1.0,0.45,0.7,
00-0030565,QB,Geno Smith,SEA,2024,9,0,1,00-0030565,0,LA,0.5192307692307693,Healthy,,276.0,25.75,0.0,0.0,0.0,,,,0.0,0.0,177.0,0.0,1.0,0.0,0.5686,0.44439999999999996,
00-0031235,WR,Odell Beckham Jr.,MIA,2024,9,0,0,00-0034177,0,BUF,0.2702702702702703,Healthy,,233.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.5536,0.3,
00-0031280,QB,Derek Carr,NO,2024,9,0,0,00-0031280,0,CAR,0.7297297297297297,Minor,,400.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,22.0,0.0,1.0,0.0,0.6315999999999999,0.5789,
00-0031345,QB,Jimmy Garoppolo,LA,2024,9,0,0,00-0026498,0,SEA,0.4807692307692307,Healthy,,445.0,,,,,,,,0.0,0.0,,,,,0.6071,0.6923,
00-0031381,WR,Davante Adams,NYJ,2024,9,0,1,00-0023459,1,HOU,0.5967741935483871,Questionable,293.0,298.0,0.0,42.0,0.0,0.0,00-0023459,3.0,211.0,2.5,222.0,0.0,384.0,0.0,2.0,0.5574,0.7143,1.0
00-0031408,WR,Mike Evans,TB,2024,9,0,0,00-0034855,0,KC,0.1709401709401709,Minor,,228.0,0.0,40.333333333333336,0.0,1.0,,,,3.0,330.0,0.0,335.0,0.0,6.0,0.5088,0.5556,
00-0031428,WR,Allen Robinson,DET,2024,9,0,0,00-0033106,0,GB,0.5535714285714286,Healthy,,390.0,0.0,0.0,0.0,0.0,,,,3.0,85.0,0.0,0.0,0.0,0.0,0.5397,0.6,
00-0031484,TE,Chris Manhertz,NYG,2024,9,0,1,00-0035710,0,WAS,0.37037037037037035,Healthy,,309.0,0.0,0.0,0.0,0.0,,,,0.0,264.0,0.0,0.0,0.0,0.0,0.5667,0.7143,
00-0031503,QB,Jameis Winston,CLE,2024,9,0,1,00-0031503,0,LAC,0.504950495049505,Healthy,,366.0,-0.3333333333333333,0.0,0.0,0.0,,,,0.0,0.0,4.0,0.0,0.0,0.0,0.5294,0.6,
00-0031544,WR,Amari Cooper,BUF,2024,9,0,1,00-0034857,0,MIA,0.7297297297297297,Minor,,389.0,0.0,42.75,0.0,0.25,,,,2.0,283.0,0.0,319.0,0.0,3.0,0.6167,0.375,
00-0031549,WR,Nelson Agholor,BAL,2024,9,0,1,00-0034796,0,DEN,0.8198198198198198,Healthy,,284.0,0.0,21.25,0.0,0.25,,,,2.0,289.0,0.0,170.0,0.0,1.0,0.5763,0.5,
00-0031595,RB,Michael Burton,DEN,2024,9,0,0,00-0039732,0,BAL,0.18018018018018023,Minor,,401.0,0.0,16.5,0.0,0.0,,,,3.0,284.0,0.0,40.0,0.0,0.0,0.42310000000000003,0.5,
00-0031687,RB,Raheem Mostert,MIA,2024,9,0,0,00-0034177,0,BUF,0.2702702702702703,Healthy,,233.0,49.666666666666664,9.666666666666666,0.6666666666666666,0.0,,,,,,158.0,39.0,2.0,0.0,0.5536,0.3,
00-0031690,TE,Eric Tomlinson,LAC,2024,9,0,0,00-0036355,0,CLE,0.49504950495049505,Healthy,,387.0,0.0,3.5,0.0,0.0,,,,2.0,279.0,0.0,7.0,0.0,0.0,0.7111,0.6667000000000001,
00-0031763,WR,DeAndre Carter,CHI,2024,9,0,0,00-0039918,0,ARI,0.4504504504504504,Healthy,,377.0,0.0,7.0,0.0,0.0,,,,0.0,131.0,0.0,67.0,0.0,0.0,0.6056,0.5556,
00-0031800,QB,Taylor Heinicke,LAC,2024,9,0,0,00-0036355,0,CLE,0.49504950495049505,Healthy,,387.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.7111,0.6667000000000001,
00-0032104,RB,Ameer Abdullah,LV,2024,9,0,0,00-0038579,0,CIN,0.23529411764705888,Healthy,,397.0,22.666666666666668,10.666666666666666,0.3333333333333333,0.0,,,,,,69.0,46.0,1.0,0.0,0.5167,0.6667000000000001,
00-0032141,TE,Geoff Swaim,CLE,2024,9,0,1,00-0031503,0,LAC,0.504950495049505,Healthy,,366.0,0.0,7.0,0.0,0.0,,,,3.0,334.0,0.0,7.0,0.0,0.0,0.5294,0.6,
00-0032211,WR,Tyler Lockett,SEA,2024,9,0,1,00-0030565,0,LA,0.5192307692307693,Minor,,276.0,0.0,48.5,0.0,0.25,,,,0.0,212.0,0.0,393.0,0.0,1.0,0.5686,0.44439999999999996,
00-0032268,QB,Marcus Mariota,WAS,2024,9,0,0,00-0032268,0,NYG,0.6296296296296297,Healthy,,426.0,18.0,0.0,0.0,0.0,,,,0.0,0.0,52.0,0.0,0.0,0.0,0.6102000000000001,0.375,
00-0032385,WR,Sterling Shepard,TB,2024,9,0,0,00-0034855,0,KC,0.1709401709401709,Minor,,228.0,7.75,15.0,0.0,0.25,,,,3.0,330.0,31.0,111.0,0.0,1.0,0.5088,0.5556,
00-0032392,TE,Austin Hooper,NE,2024,9,0,0,00-0039851,0,TEN,0.37037037037037035,Healthy,,225.0,0.0,15.25,0.0,0.0,,,,0.0,23.0,0.0,129.0,0.0,1.0,0.377,0.7143,
00-0032394,TE,Nick Vannett,TEN,2024,9,0,1,00-0034771,0,NE,0.6296296296296297,Healthy,,336.0,0.0,12.5,0.0,0.0,,,,1.0,266.0,0.0,45.0,0.0,1.0,0.46149999999999997,0.6923,
00-0032436,QB,Jeff Driskel,WAS,2024,9,0,0,00-0032268,0,NYG,0.6296296296296297,Healthy,,426.0,,,,,,,,0.0,0.0,75.0,4.0,0.0,0.0,0.6102000000000001,0.375,
00-0032464,WR,Kalif Raymond,DET,2024,9,0,0,00-0033106,0,GB,0.5535714285714286,Healthy,,390.0,0.0,33.75,0.0,0.5,,,,3.0,85.0,12.0,162.0,0.0,2.0,0.5397,0.6,
00-0032764,RB,Derrick Henry,BAL,2024,9,0,1,00-0034796,0,DEN,0.8198198198198198,Healthy,,284.0,116.5,5.25,1.0,0.25,,,,2.0,289.0,946.0,66.0,9.0,2.0,0.5763,0.5,
00-0032775,WR,Demarcus Robinson,LA,2024,9,0,0,00-0026498,0,SEA,0.4807692307692307,Healthy,,445.0,0.0,27.25,0.0,0.75,,,,4.0,279.0,0.0,233.0,0.0,3.0,0.6071,0.6923,
00-0032918,RB,C.J. Ham,MIN,2024,9,0,1,00-0034869,0,IND,0.6923076923076923,Healthy,,363.0,10.0,0.0,1.0,0.0,,,,2.0,240.0,10.0,11.0,1.0,0.0,0.5577000000000001,0.4545,
00-0032950,QB,Carson Wentz,KC,2024,9,0,1,00-0033873,0,TB,0.8290598290598291,Healthy,,394.0,,,,,,,,0.0,0.0,,,,,0.45,0.7,
00-0033009,WR,Tyler Boyd,TEN,2024,9,0,1,00-0034771,0,NE,0.6296296296296297,Minor,,336.0,0.0,26.75,0.0,0.0,,,,1.0,266.0,0.0,184.0,0.0,0.0,0.46149999999999997,0.6923,
00-0033040,WR,Tyreek Hill,MIA,2024,9,0,0,00-0034177,0,BUF,0.2702702702702703,Minor,,233.0,6.0,43.0,0.0,0.0,,,,,,36.0,366.0,0.0,1.0,0.5536,0.3,
00-0033045,RB,Ezekiel Elliott,DAL,2024,9,0,0,00-0033077,0,ATL,0.36363636363636365,Healthy,,432.0,21.75,2.25,0.25,0.0,,,,2.0,243.0,149.0,40.0,2.0,0.0,0.45280000000000004,0.75,
00-0033077,QB,Dak Prescott,DAL,2024,9,0,0,00-0033077,0,ATL,0.36363636363636365,Healthy,,432.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,24.0,0.0,1.0,0.0,0.45280000000000004,0.75,
00-0033090,TE,Hunter Henry,NE,2024,9,0,0,00-0039851,0,TEN,0.37037037037037035,Healthy,,225.0,0.0,52.5,0.0,0.25,,,,0.0,23.0,0.0,358.0,0.0,1.0,0.377,0.7143,
00-0033106,QB,Jared Goff,DET,2024,9,0,0,00-0033106,0,GB,0.5535714285714286,Minor,,390.0,0.0,1.75,0.0,0.25,,,,0.0,0.0,18.0,7.0,0.0,1.0,0.5397,0.6,
00-0033119,QB,Jacoby Brissett,NE,2024,9,0,0,00-0039851,0,TEN,0.37037037037037035,Healthy,,225.0,10.5,0.0,0.0,0.0,,,,0.0,0.0,62.0,0.0,0.0,0.0,0.377,0.7143,
00-0033217,TE,Mo Alie-Cox,IND,2024,9,0,0,00-0026158,0,MIN,0.3076923076923077,Healthy,,386.0,0.0,19.5,0.0,0.25,,,,,,0.0,100.0,0.0,1.0,0.54,0.8571,
00-0033246,TE,Johnny Mundt,MIN,2024,9,0,1,00-0034869,0,IND,0.6923076923076923,Healthy,,363.0,0.0,16.0,0.0,0.0,,,,2.0,240.0,0.0,93.0,0.0,1.0,0.5577000000000001,0.4545,
00-0033251,WR,Zach Pascal,ARI,2024,9,0,1,00-0035228,0,CHI,0.5495495495495496,Healthy,,481.0,,,,,,,,2.0,307.0,,,,,0.6889,0.25,
00-0033282,WR,Curtis Samuel,BUF,2024,9,0,1,00-0034857,0,MIA,0.7297297297297297,Minor,,389.0,-0.3333333333333333,14.666666666666666,0.0,0.0,,,,2.0,283.0,6.0,92.0,0.0,0.0,0.6167,0.375,
00-0033293,RB,Aaron Jones,MIN,2024,9,0,1,00-0034869,0,IND,0.6923076923076923,Healthy,,363.0,68.25,32.5,0.25,0.0,,,,2.0,240.0,501.0,227.0,2.0,1.0,0.5577000000000001,0.4545,
00-0033307,WR,Kendrick Bourne,NE,2024,9,0,0,00-0039851,0,TEN,0.37037037037037035,Healthy,,225.0,0.0,7.25,0.0,0.0,,,,0.0,23.0,0.0,29.0,0.0,0.0,0.377,0.7143,
00-0033319,QB,Nick Mullens,MIN,2024,9,0,1,00-0034869,0,IND,0.6923076923076923,Healthy,,363.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5577000000000001,0.4545,
00-0033357,TE,Taysom Hill,NO,2024,9,0,0,00-0031280,0,CAR,0.7297297297297297,Healthy,,400.0,20.0,21.0,0.0,0.0,,,,2.0,165.0,97.0,23.0,2.0,0.0,0.6315999999999999,0.5789,
00-0033375,WR,Tim Patrick,DET,2024,9,0,0,00-0033106,0,GB,0.5535714285714286,Healthy,,390.0,0.0,36.25,0.0,0.0,,,,3.0,85.0,0.0,165.0,0.0,0.0,0.5397,0.6,
00-0033376,RB,Patrick Ricard,BAL,2024,9,0,1,00-0034796,0,DEN,0.8198198198198198,Healthy,,284.0,0.0,0.0,0.0,0.0,,,,2.0,289.0,0.0,0.0,0.0,0.0,0.5763,0.5,
00-0033439,TE,Pharaoh Brown,SEA,2024,9,0,1,00-0030565,0,LA,0.5192307692307693,Healthy,,276.0,0.0,7.0,0.0,0.0,,,,0.0,212.0,0.0,19.0,0.0,0.0,0.5686,0.44439999999999996,
00-0033526,RB,Samaje Perine,KC,2024,9,0,1,00-0033873,0,TB,0.8290598290598291,Healthy,,394.0,5.0,19.0,0.25,0.0,,,,2.0,262.0,45.0,104.0,1.0,0.0,0.45,0.7,
00-0033536,WR,Mike Williams,NYJ,2024,9,0,1,00-0023459,0,HOU,0.5967741935483871,Healthy,293.0,295.5,0.0,13.333333333333334,0.0,0.0,00-0023459,3.0,211.0,2.75,216.5,0.0,166.0,0.0,0.0,0.5574,0.7143,1.0
00-0033553,RB,James Conner,ARI,2024,9,0,1,00-0035228,0,CHI,0.5495495495495496,Healthy,,481.0,66.0,25.75,0.25,0.0,,,,2.0,307.0,557.0,155.0,4.0,0.0,0.6889,0.25,
00-0033555,WR,Mack Hollins,BUF,2024,9,0,1,00-0034857,0,MIA,0.7297297297297297,Minor,,389.0,0.0,11.666666666666666,0.0,0.3333333333333333,,,,2.0,283.0,0.0,81.0,0.0,2.0,0.6167,0.375,
00-0033589,WR,David Moore,CAR,2024,9,0,1,00-0027973,0,NO,0.2702702702702703,Healthy,,378.0,0.0,23.0,0.0,0.0,,,,0.0,93.0,0.0,83.0,0.0,0.0,0.5106,0.7273000000000001,
00-0033591,WR,Noah Brown,WAS,2024,9,0,0,00-0032268,0,NYG,0.6296296296296297,Healthy,,426.0,0.0,49.0,0.0,0.3333333333333333,,,,1.0,167.0,0.0,555.0,0.0,3.0,0.6102000000000001,0.375,
00-0033662,QB,Cooper Rush,DAL,2024,9,0,0,00-0033077,0,ATL,0.36363636363636365,Healthy,,432.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.45280000000000004,0.75,
00-0033699,RB,Austin Ekeler,WAS,2024,9,0,0,00-0032268,0,NYG,0.6296296296296297,Healthy,,,39.25,21.5,0.0,0.0,,,,,,628.0,436.0,5.0,1.0,0.6102000000000001,0.375,
00-0033854,RB,Dare Ogunbowale,HOU,2024,9,0,0,00-0039163,0,NYJ,0.4032258064516129,Healthy,322.0,268.0,12.0,14.25,0.0,0.0,00-0039163,0.0,191.0,0.75,261.5,57.0,155.0,0.0,1.0,0.48979999999999996,0.5714,1.0
00-0033857,WR,JuJu Smith-Schuster,KC,2024,9,0,1,00-0033873,0,TB,0.8290598290598291,Minor,,,0.0,130.0,0.0,0.0,,,,,,0.0,147.0,0.0,1.0,0.45,0.7,
00-0033858,TE,Jonnu Smith,MIA,2024,9,0,0,00-0034177,0,BUF,0.2702702702702703,Minor,,233.0,-0.25,44.5,0.0,0.25,,,,,,-1.0,256.0,0.0,1.0,0.5536,0.3,
00-0033869,QB,Mitchell Trubisky,BUF,2024,9,0,1,00-0034857,0,MIA,0.7297297297297297,Healthy,,389.0,-3.0,0.0,0.0,0.0,,,,0.0,0.0,-6.0,0.0,0.0,0.0,0.6167,0.375,
00-0033873,QB,Patrick Mahomes,KC,2024,9,0,1,00-0033873,0,TB,0.8290598290598291,Minor,,,22.5,0.0,0.25,0.0,,,,0.0,0.0,139.0,2.0,1.0,0.0,0.45,0.7,
00-0033881,TE,Evan Engram,JAX,2024,9,0,0,00-0036971,0,PHI,0.23529411764705888,Healthy,,280.0,0.0,57.666666666666664,0.0,0.3333333333333333,,,,2.0,308.0,0.0,178.0,0.0,1.0,0.65,0.4,
00-0033885,TE,David Njoku,CLE,2024,9,0,1,00-0031503,0,LAC,0.504950495049505,Minor,,366.0,0.0,45.5,0.0,0.5,,,,3.0,334.0,0.0,226.0,0.0,2.0,0.5294,0.6,
00-0033891,WR,Zay Jones,ARI,2024,9,0,1,00-0035228,0,CHI,0.5495495495495496,Healthy,,481.0,0.0,1.5,0.0,0.0,,,,2.0,307.0,0.0,3.0,0.0,0.0,0.6889,0.25,
00-0033895,TE,Gerald Everett,CHI,2024,9,0,0,00-0039918,0,ARI,0.4504504504504504,Healthy,,377.0,0.0,8.333333333333334,0.0,0.0,,,,0.0,131.0,0.0,25.0,0.0,0.0,0.6056,0.5556,
00-0033897,RB,Joe Mixon,HOU,2024,9,0,0,00-0039163,1,NYJ,0.4032258064516129,Healthy,322.0,286.0,106.33333333333333,23.666666666666668,1.3333333333333333,0.3333333333333333,00-0039163,0.0,191.0,0.5,238.0,609.0,115.0,6.0,1.0,0.48979999999999996,0.5714,1.0
00-0033906,RB,Alvin Kamara,NO,2024,9,0,0,00-0031280,0,CAR,0.7297297297297297,Minor,,400.0,35.75,33.25,0.25,0.0,,,,2.0,165.0,505.0,307.0,6.0,1.0,0.6315999999999999,0.5789,
00-0033908,WR,Cooper Kupp,LA,2024,9,0,0,00-0026498,0,SEA,0.4807692307692307,Healthy,,445.0,0.0,51.0,0.0,1.0,,,,4.0,279.0,10.0,198.0,0.0,2.0,0.6071,0.6923,
00-0033923,RB,Kareem Hunt,KC,2024,9,0,1,00-0033873,0,TB,0.8290598290598291,Minor,,,77.0,10.0,1.0,0.0,,,,,,308.0,40.0,4.0,0.0,0.45,0.7,
00-0033925,RB,D'Onta Foreman,CLE,2024,9,0,1,00-0031503,0,LAC,0.504950495049505,Healthy,,366.0,26.5,8.0,0.0,0.0,,,,3.0,334.0,155.0,46.0,0.0,0.0,0.5294,0.6,
00-0033948,RB,Jamaal Williams,NO,2024,9,0,0,00-0031280,0,CAR,0.7297297297297297,Minor,,400.0,9.25,0.0,0.0,0.0,,,,2.0,165.0,124.0,21.0,1.0,0.0,0.6315999999999999,0.5789,
00-0033955,RB,Jeremy McNichols,WAS,2024,9,0,0,00-0032268,0,NYG,0.6296296296296297,Healthy,,,23.5,0.0,0.25,0.0,,,,,,,,,,0.6102000000000001,0.375,
00-0034073,TE,Ross Dwelley,ATL,2024,9,0,1,00-0029604,0,DAL,0.6363636363636364,Healthy,,469.0,,,,,,,,4.0,276.0,,,,,0.5962,0.7273000000000001,
00-0034115,RB,Jeff Wilson,MIA,2024,9,0,0,00-0034177,0,BUF,0.2702702702702703,Healthy,,,,,,,,,,,,40.0,12.0,0.0,0.0,0.5536,0.3,
00-0034159,TE,Will Dissly,LAC,2024,9,0,0,00-0036355,0,CLE,0.49504950495049505,Minor,,387.0,0.0,43.0,0.0,0.0,,,,2.0,279.0,0.0,233.0,0.0,0.0,0.7111,0.6667000000000001,
00-0034177,QB,Tim Boyle,MIA,2024,9,0,0,00-0034177,0,BUF,0.2702702702702703,Healthy,,,4.0,0.0,0.0,0.0,,,,0.0,0.0,10.0,0.0,0.0,0.0,0.5536,0.3,
00-0034270,TE,Tyler Conklin,NYJ,2024,9,0,1,00-0023459,0,HOU,0.5967741935483871,Healthy,293.0,293.0,0.0,28.5,0.0,0.5,00-0023459,3.0,211.0,3.0,211.0,0.0,237.0,0.0,2.0,0.5574,0.7143,1.0
00-0034272,WR,Marquez Valdes-Scantling,NO,2024,9,0,0,00-0031280,0,CAR,0.7297297297297297,Healthy,,,0.0,0.0,0.0,0.0,,,,,,0.0,26.0,0.0,0.0,0.6315999999999999,0.5789,
