player_id,player_name,team,season,week,rookie,home,qb_id,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,player_id_drop,passing_tds,passing_yards,qb_rolling_passing_tds,qb_rolling_passing_yards,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0037292,Andrew Ogletree,IND,2024,8,0,0,00-0026158,0,HOU,0.3076923076923077,Healthy,302.0,302.0,0.0,11.0,0.0,0.25,,,,,,0.0,56.0,0.0,1.0,0.5574,0.6667000000000001,
00-0037304,Connor Heyward,PIT,2024,8,0,1,00-0029263,0,NYG,0.7101449275362319,Healthy,,,0.0,13.5,0.0,0.5,,,,,,0.0,29.0,0.0,1.0,0.6102000000000001,0.8,
00-0037306,John FitzPatrick,GB,2024,8,0,0,00-0036264,0,JAX,0.6153846153846154,Healthy,422.0,390.25,,,,,00-0036264,0.0,196.0,0.75,202.0,,,,,0.5577000000000001,0.8181999999999999,
00-0037311,Ko Kieft,TB,2024,8,0,1,00-0034855,0,ATL,0.49504950495049505,Healthy,432.0,432.0,,,,,00-0034855,3.0,330.0,3.0,330.0,,,,,0.45280000000000004,0.625,
00-0037327,Skylar Thompson,MIA,2024,8,0,1,00-0034177,0,ARI,0.6644295302013423,Healthy,377.0,377.0,0.0,0.0,0.0,0.0,,,,,,4.0,0.0,0.0,0.0,0.6056,0.2727,
00-0037348,Tanner Conner,MIA,2024,8,0,1,00-0034177,0,ARI,0.6644295302013423,Healthy,377.0,377.0,0.0,8.0,0.0,0.0,,,,,,0.0,16.0,0.0,0.0,0.6056,0.2727,
00-0037387,Jalen Virgil,BUF,2024,8,0,0,00-0034857,0,SEA,0.5867768595041323,Healthy,,,,,,,,,,,,,,,,0.6071,0.5455,
00-0037429,Raheem Blackshear,CAR,2024,8,0,0,00-0039150,0,DEN,0.11764705882352944,Minor,,,,,,,,,,,,,,,,0.5763,0.4286,
00-0037450,Tyreik McAllister,LV,2024,8,0,1,00-0038579,0,KC,0.22727272727272727,Healthy,,,11.0,0.0,0.0,0.0,,,,,,11.0,0.0,0.0,0.0,0.5088,0.5714,
00-0037451,Rod Williams,PIT,2024,8,0,1,00-0029263,0,NYG,0.7101449275362319,Healthy,,,,,,,,,,,,,,,,0.6102000000000001,0.8,
00-0037456,Troy Hairston,HOU,2024,8,0,1,00-0039163,0,IND,0.6923076923076923,Healthy,363.0,363.0,,,,,00-0039163,1.0,285.0,1.0,285.0,,,,,0.5577000000000001,0.5556,
00-0037475,Stone Smartt,LAC,2024,8,0,1,00-0036355,0,NO,0.7560975609756098,Healthy,,,0.0,20.5,0.0,0.0,,,,,,0.0,41.0,0.0,0.0,0.5106,0.5333,
00-0037525,Jordan Mason,SF,2024,8,0,1,00-0037834,0,DAL,0.7041420118343196,Minor,,,85.75,16.5,0.25,0.0,,,,,,667.0,86.0,3.0,0.0,0.5962,0.5556,
00-0037539,Lucas Krull,DEN,2024,8,0,1,00-0039732,0,CAR,0.8823529411764706,Healthy,,,0.0,19.0,0.0,0.0,,,,,,0.0,57.0,0.0,0.0,0.6315999999999999,0.5556,
