player_id,position,player_name,team,season,week,rookie,home,qb_id,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,player_id_drop,passing_tds,passing_yards,qb_rolling_passing_tds,qb_rolling_passing_yards,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0023459,QB,Aaron Rodgers,PIT,2025,1,0,0,00-0023459,0,NYJ,0.5652173913043479,Healthy,,334.0,12.75,0.0,0.0,0.0,,,,0.0,0.0,107.0,0.0,0.0,0.0,0.5872999999999999,,
00-0026158,QB,Joe Flacco,CLE,2025,1,0,1,00-0026158,0,CIN,0.3389830508474576,Healthy,,193.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,26.0,0.0,0.0,0.0,0.6792,,
00-0026300,QB,Josh Johnson,WAS,2025,1,0,1,00-0039910,0,NYG,0.726027397260274,Healthy,,303.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.537,,
00-0026498,QB,Matthew Stafford,LA,2025,1,0,1,00-0026498,0,HOU,0.6078431372549019,Healthy,,212.0,6.666666666666667,0.0,0.0,0.0,,,,0.0,0.0,41.0,0.0,0.0,0.0,0.6,,
00-0027973,QB,Andy Dalton,CAR,2025,1,0,0,00-0039150,0,JAX,0.3571428571428571,Healthy,,429.0,,,,,,,,0.0,0.0,34.0,0.0,0.0,0.0,0.5932,,
00-0028118,QB,Tyrod Taylor,NYJ,2025,1,0,1,00-0036945,0,PIT,0.43478260869565216,Healthy,,464.0,6.0,0.0,0.0,0.0,,,,0.0,0.0,13.0,0.0,0.0,0.0,0.5538000000000001,,
00-0028986,QB,Case Keenum,CHI,2025,1,0,1,00-0039918,0,MIN,0.4878048780487805,Healthy,,292.0,,,,,,,,0.0,0.0,,,,,0.5849,,
00-0029263,QB,Russell Wilson,NYG,2025,1,0,0,00-0029263,0,WAS,0.273972602739726,Healthy,,459.0,26.0,0.0,0.25,0.0,,,,0.0,0.0,155.0,0.0,2.0,0.0,0.6377,,
00-0029604,QB,Kirk Cousins,ATL,2025,1,0,1,00-0039917,0,TB,0.4672897196261682,Healthy,,350.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5323,,
00-0029892,RB,Kyle Juszczyk,SF,2025,1,0,0,00-0037834,0,SEA,0.5327102803738317,Healthy,,403.0,2.0,26.0,0.0,0.6666666666666666,,,,3.0,377.0,26.0,200.0,1.0,2.0,0.5263,,
00-0030035,WR,Adam Thielen,MIN,2025,1,0,0,00-0039923,0,CHI,0.5121951219512195,Healthy,,367.0,0.0,62.0,0.0,0.75,,,,,,0.0,615.0,0.0,5.0,0.4603,,
00-0030061,TE,Zach Ertz,WAS,2025,1,0,1,00-0039910,0,NYG,0.726027397260274,Healthy,,303.0,0.0,49.75,0.0,0.5,,,,1.0,255.0,0.0,654.0,0.0,7.0,0.537,,
00-0030279,WR,Keenan Allen,LAC,2025,1,0,1,00-0036355,0,KC,0.4132231404958678,Healthy,,345.0,0.0,68.25,0.0,0.5,,,,1.0,242.0,0.0,744.0,0.0,7.0,0.5397,,
00-0030506,TE,Travis Kelce,KC,2025,1,0,0,00-0033873,0,LAC,0.5867768595041323,Healthy,,429.0,0.0,58.333333333333336,0.0,0.3333333333333333,,,,3.0,257.0,1.0,823.0,0.0,3.0,0.4545,,
00-0030564,WR,DeAndre Hopkins,BAL,2025,1,0,0,00-0034796,0,BUF,0.4716981132075472,Healthy,,370.0,0.0,9.666666666666666,0.0,0.3333333333333333,,,,2.0,254.0,0.0,610.0,0.0,5.0,0.5775,,
00-0030565,QB,Geno Smith,LV,2025,1,0,0,00-0030565,0,NE,0.3921568627450981,Healthy,,259.0,11.5,0.0,0.0,0.0,,,,0.0,0.0,272.0,0.0,2.0,0.0,0.6315999999999999,,
00-0031236,WR,Brandin Cooks,NO,2025,1,0,1,00-0039376,0,ARI,0.30303030303030304,Healthy,,436.0,-1.25,37.25,0.0,0.0,,,,1.0,240.0,-3.0,259.0,0.0,3.0,0.5263,,
00-0031237,QB,Teddy Bridgewater,TB,2025,1,0,0,00-0034855,0,ATL,0.5327102803738317,Healthy,,425.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,0.6491,,
00-0031345,QB,Jimmy Garoppolo,LA,2025,1,0,1,00-0026498,0,HOU,0.6078431372549019,Healthy,,212.0,5.0,0.0,0.0,0.0,,,,0.0,0.0,5.0,0.0,0.0,0.0,0.6,,
00-0031381,WR,Davante Adams,LA,2025,1,0,1,00-0026498,0,HOU,0.6078431372549019,Healthy,,212.0,0.0,100.25,0.0,1.0,,,,2.0,324.0,0.0,1063.0,0.0,8.0,0.6,,
00-0031408,WR,Mike Evans,TB,2025,1,0,0,00-0034855,0,ATL,0.5327102803738317,Healthy,,425.0,0.0,86.75,0.0,0.75,,,,2.0,185.0,0.0,1004.0,0.0,11.0,0.6491,,
00-0031484,TE,Chris Manhertz,NYG,2025,1,0,0,00-0029263,0,WAS,0.273972602739726,Healthy,,459.0,0.0,14.0,0.0,0.0,,,,2.0,270.0,0.0,30.0,0.0,1.0,0.6377,,
00-0031503,QB,Jameis Winston,NYG,2025,1,0,0,00-0029263,0,WAS,0.273972602739726,Healthy,,459.0,,,,,,,,0.0,0.0,-6.0,0.0,0.0,0.0,0.6377,,
00-0031544,WR,Amari Cooper,LV,2025,1,0,0,00-0030565,0,NE,0.3921568627450981,Healthy,,259.0,0.0,13.666666666666666,0.0,0.0,,,,4.0,223.0,0.0,547.0,0.0,4.0,0.6315999999999999,,
00-0031588,WR,Stefon Diggs,NE,2025,1,0,1,00-0039851,0,LV,0.6078431372549019,Healthy,,475.0,3.0,46.5,0.0,0.0,,,,1.0,117.0,5.0,1183.0,0.0,8.0,0.6034,,
00-0031610,TE,Darren Waller,MIA,2025,1,0,0,00-0036212,0,IND,0.4716981132075472,Healthy,,319.0,0.0,42.0,0.0,0.0,,,,,,0.0,552.0,0.0,1.0,0.6065999999999999,,
00-0031687,RB,Raheem Mostert,LV,2025,1,0,0,00-0030565,0,NE,0.3921568627450981,Healthy,,259.0,14.0,14.666666666666666,0.0,0.0,,,,4.0,223.0,278.0,161.0,2.0,0.0,0.6315999999999999,,
00-0031763,WR,DeAndre Carter,CLE,2025,1,0,1,00-0026158,0,CIN,0.3389830508474576,Healthy,,193.0,0.0,3.0,0.0,0.0,,,,1.0,264.0,18.0,39.0,0.0,0.0,0.6792,,
00-0032211,WR,Tyler Lockett,TEN,2025,1,0,0,00-0040676,0,DEN,0.20833333333333337,Healthy,,473.0,0.0,22.25,0.0,0.0,,,,,,0.0,600.0,0.0,2.0,0.44439999999999996,,
00-0032268,QB,Marcus Mariota,WAS,2025,1,0,1,00-0039910,0,NYG,0.726027397260274,Healthy,,303.0,19.0,0.0,0.3333333333333333,0.0,,,,0.0,0.0,92.0,0.0,1.0,0.0,0.537,,
00-0032385,WR,Sterling Shepard,TB,2025,1,0,0,00-0034855,0,ATL,0.5327102803738317,Healthy,,425.0,7.0,15.5,0.0,0.0,,,,2.0,185.0,69.0,334.0,0.0,1.0,0.6491,,
00-0032392,TE,Austin Hooper,NE,2025,1,0,1,00-0039851,0,LV,0.6078431372549019,Healthy,,475.0,0.0,34.75,0.0,0.0,,,,1.0,117.0,0.0,476.0,0.0,3.0,0.6034,,
00-0032434,QB,Brandon Allen,TEN,2025,1,0,0,00-0040676,0,DEN,0.20833333333333337,Healthy,,473.0,,,,,,,,0.0,0.0,4.0,0.0,0.0,0.0,0.44439999999999996,,
00-0032464,WR,Kalif Raymond,DET,2025,1,0,0,00-0033106,0,GB,0.4032258064516129,Healthy,,290.0,0.0,24.0,0.0,0.0,,,,1.0,313.0,0.0,215.0,0.0,2.0,0.5740999999999999,,
