player_id,player_name,team,season,week,rookie,home,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0036414,Cam Akers,MIN,2024,7,0,1,0,DET,0.5412844036697247,Healthy,383.0,383.0,37.0,4.0,0.25,0.25,147.0,16.0,1.0,1.0,0.6563,0.4286,
00-0036415,Van Jefferson,PIT,2024,7,0,1,1,NYJ,0.4166666666666667,Healthy,409.0,409.0,0.0,23.5,0.0,0.0,0.0,77.0,0.0,1.0,0.48979999999999996,0.7273000000000001,1.0
00-0036422,Adam Trautman,DEN,2024,7,0,0,0,NO,0.5535714285714286,Healthy,389.0,389.0,0.0,16.0,0.0,0.0,0.0,32.0,0.0,0.0,0.5106,0.5333,1.0
00-0036425,DeeJay Dallas,ARI,2024,7,0,1,0,LAC,0.49504950495049505,Healthy,326.0,326.0,,,,,0.0,0.0,0.0,0.0,0.5294,0.6667000000000001,
00-0036427,Tyler Johnson,LA,2024,7,0,1,0,LV,0.7802197802197802,Healthy,259.0,259.0,0.0,13.333333333333334,0.0,0.0,0.0,176.0,0.0,0.0,0.625,0.6364,1.0
00-0036429,Charlie Woerner,ATL,2024,7,0,1,0,SEA,0.6183206106870229,Minor,385.0,385.0,,,,,0.0,4.0,0.0,0.0,0.6071,0.5455,
00-0036442,Joe Burrow,CIN,2024,7,0,0,0,CLE,0.6551724137931034,Minor,223.0,223.0,17.5,0.0,0.25,0.0,91.0,0.0,1.0,0.0,0.7111,0.5,1.0
00-0036471,Mathew Sexton,MIA,2024,7,0,0,0,IND,0.3921568627450981,Healthy,337.0,337.0,,,,,,,,,0.5577000000000001,0.5556,
00-0036497,Tim Jones,JAX,2024,7,0,1,0,NE,0.7487437185929648,Healthy,366.0,366.0,,,,,,,,,0.46149999999999997,0.7,
00-0036527,DJ Turner,LV,2024,7,0,0,0,LA,0.21978021978021978,Healthy,317.0,317.0,7.666666666666667,16.333333333333332,0.3333333333333333,0.0,29.0,71.0,1.0,0.0,0.5686,0.44439999999999996,1.0
00-0036550,Rashod Bateman,BAL,2024,7,0,0,1,TB,0.6491228070175439,Healthy,508.0,508.0,0.0,45.0,0.0,0.5,0.0,394.0,0.0,3.0,0.45,0.6154,1.0
00-0036555,Chuba Hubbard,CAR,2024,7,0,0,1,WAS,0.15748031496062997,Minor,180.0,180.0,101.75,20.25,0.5,0.25,537.0,93.0,3.0,1.0,0.5667,0.7143,1.0
00-0036590,Quintin Morris,BUF,2024,7,0,1,0,TEN,0.84251968503937,Minor,389.0,389.0,,,,,,,,,0.377,0.6,
